Strain;bams01;bams03;bams05;bams13;bams15;bams21;bams22;bams23;bams24;bams25;bams28;bams30;bams31;bams34;bams44;bams51;bams53;CG3;pXO1;pXO2;vntr12;vntr16;vntr17;vntr19;vntr23;vntr35;vrrA;vrrB1;vrrB2;vrrC1;vrrC2
HYU01;7;21;7;27;45;10;15;14;11;12;14;17;84;9;8;6;6;2;8;7;5;21;3;5;3;5;3;23;15;53;17
IAL52;12;30;7;71;45;10;16;11;11;13;14;57;57;9;8;9;8;2;9;9;6;20;5;4;4;4;4;20;14;57;17
IP4070;13;30;7;30;42;9;13;10;9;4;14;72;64;7;8;9;8;1;7;7;6;8;4;5;4;3;4;17;14;57;19
J_84/93;16;30;5;70;45;12;15;11;11;13;14;48;59;9;8;9;8;2;10;12;6;20;3;4;5;4;4;20;14;57;17
JB10;16;30;6;70;45;12;16;11;11;13;14;48;59;9;8;9;8;2;10;9;6;20;3;4;3;4;3;20;14;52;17
JB25;16;30;6;70;45;12;16;11;11;14;14;52;59;9;8;9;8;2;10;9;6;20;5;4;3;4;3;20;14;52;17
K0021;13;30;7;30;45;10;16;11;11;13;13;63;64;9;8;9;8;1;7;7;6;20;4;4;4;4;4;20;14;57;21
K1129;13;30;7;23;45;10;16;11;11;13;14;71;64;9;8;9;8;2;10;9;6;20;12;5;4;4;4;20;14;48;21
K1285;8;30;3;45;44;10;16;11;11;13;14;57;56;8;8;9;8;2;10;9;6;20;3;4;4;4;4;20;14;57;17
K2129;13;30;7;30;45;10;16;11;11;13;14;66;64;9;8;7;8;1;10;7;6;20;4;5;4;3;4;20;14;57;21
K27;10;18;6;33;43;12;15;11;11;13;14;71;64;9;2;9;8;2;6;6;6;21;4;5;4;2;6;20;14;59;17
K2883;13;30;7;32;45;9;16;11;11;13;14;50;64;9;8;9;8;2;8;11;6;20;3;4;4;4;5;20;14;57;17
K3;10;18;6;33;43;12;15;10;11;13;14;69;64;9;2;9;8;2;6;6;6;21;4;5;4;4;6;20;14;57;17
K3974;13;24;7;30;45;10;14;9;11;13;14;75;63;9;8;9;8;1;9;6;6;20;4;5;4;4;5;20;14;57;21
K8215;12;30;6;30;24;10;16;11;9;13;14;57;57;9;8;9;8;2;9;9;6;20;4;4;4;4;4;20;14;57;17
Kanchipuram;16;26;5;70;24;10;16;11;11;13;14;57;64;11;8;9;8;2;7;9;6;20;4;4;4;5;4;20;13;53;17
KB4;10;18;6;33;43;12;15;11;11;13;14;69;64;9;2;9;8;2;7;6;6;21;4;5;4;4;4;20;14;57;17
KC2011;11;27;6;28;45;10;13;11;11;13;11;6;65;9;8;9;6;2;7;4;6;24;3;5;3;4;2;23;15;48;17
KrugerB;11;27;6;28;45;10;13;10;11;13;13;6;65;1;8;6;6;2;6;9;5;NA;3;5;3;3;3;23;15;53;17
KZ_1;12;30;7;30;45;10;16;11;11;13;14;72;64;9;8;9;8;1;12;7;6;20;4;5;4;4;4;20;14;57;21
KZ_100;13;30;7;30;45;10;16;11;11;13;14;75;64;9;8;9;8;1;9;7;6;20;5;5;4;4;4;20;14;57;21
KZ_107;16;26;7;70;24;10;16;11;11;13;14;57;64;11;8;9;8;2;7;9;6;20;4;4;4;5;4;20;14;53;17
KZ_11;13;30;6;20;46;10;16;11;11;13;14;68;64;9;8;9;8;2;8;7;6;20;12;5;4;4;4;20;14;48;21
KZ_124;13;30;7;30;45;10;16;11;11;12;14;75;64;9;2;9;8;1;9;7;6;20;5;5;4;4;4;20;14;57;21
KZ_125;13;30;7;30;45;10;16;11;11;12;14;75;64;9;2;8;8;1;9;7;6;20;5;5;4;4;4;20;14;57;21
KZ_13;13;30;7;30;38;10;14;11;11;13;14;75;64;9;8;9;8;2;10;7;6;20;4;5;4;4;5;20;14;57;21
KZ_132;13;24;7;30;45;10;16;11;11;13;14;75;64;9;8;9;8;1;10;7;6;20;4;5;3;4;4;20;14;57;21
KZ_150;16;28;7;73;45;10;16;11;11;13;14;57;25;11;8;9;8;2;9;10;6;20;4;4;4;5;4;20;14;53;17
KZ_151;16;28;7;73;45;10;16;11;11;13;14;57;25;11;8;9;8;2;9;9;6;20;4;4;4;5;4;20;14;53;17
KZ_25;13;30;7;30;45;10;16;11;11;13;14;79;64;9;8;9;8;1;8;7;6;20;4;5;4;4;4;20;14;57;21
KZ_3;13;24;7;30;45;10;16;11;11;13;14;75;64;9;8;9;8;1;9;7;6;20;5;5;4;4;4;20;14;57;21
KZ_40;13;30;7;30;45;10;16;11;11;13;14;79;64;9;8;9;8;1;9;7;6;20;4;5;4;4;4;20;14;57;21
KZ_42;16;26;7;73;41;10;16;11;11;13;14;57;64;11;8;9;8;1;9;9;6;20;4;4;4;5;4;20;14;53;17
KZ_47;13;30;7;30;45;10;14;9;11;13;14;75;64;9;8;9;8;1;10;7;6;20;4;5;4;4;4;20;14;57;21
KZ_5;13;30;7;30;45;10;16;11;11;13;14;72;64;9;8;9;8;1;10;7;6;20;4;5;4;4;4;20;14;57;21
KZ_51;13;30;7;30;45;10;16;11;11;13;14;72;64;9;8;9;8;1;10;8;6;20;4;5;4;4;4;20;14;57;21
KZ_52;13;30;7;30;45;10;16;11;11;13;14;75;64;9;8;9;8;1;9;8;6;20;4;5;4;4;4;20;14;57;21
KZ_54;13;30;7;30;45;10;14;11;11;13;14;75;64;9;8;9;8;2;10;7;6;20;4;5;4;4;5;20;14;57;21
KZ_55;13;24;7;30;45;10;16;11;11;13;14;75;64;9;8;9;8;1;8;7;6;20;4;5;4;4;4;20;14;57;21
KZ_59;13;30;7;30;45;10;14;11;11;13;14;72;64;9;8;9;8;2;10;7;6;20;4;5;4;4;5;20;14;57;21
KZ_61;12;30;7;30;45;10;16;11;11;13;14;69;64;9;8;9;8;1;11;7;6;20;4;5;4;4;4;20;14;57;21
KZ_62;13;30;7;30;45;10;16;11;11;13;14;75;64;9;8;9;8;1;10;7;6;20;4;5;4;4;4;20;14;57;21
KZ_65;13;24;7;30;45;10;16;12;11;13;14;75;64;9;8;9;8;1;9;NA;6;NA;NA;5;4;4;4;20;14;57;21
KZ_68;16;26;7;73;45;10;16;11;11;13;14;57;64;11;8;9;8;2;8;8;6;20;4;4;4;5;4;20;14;53;17
KZ_71;12;30;7;30;45;10;16;11;11;13;14;72;64;9;8;9;8;1;12;7;6;20;4;5;3;4;4;20;14;57;21
KZ_74;13;29;7;30;45;10;16;11;11;13;14;69;64;9;8;9;8;1;8;7;6;20;4;5;4;4;3;20;14;57;21
KZ_78;13;30;6;27;46;10;16;11;11;13;14;75;64;9;8;9;8;1;10;7;6;20;4;5;4;4;4;20;14;57;21
KZ_79;13;30;7;30;45;10;16;11;11;13;14;75;64;9;8;9;8;1;8;7;6;20;5;5;4;4;4;20;14;57;21
KZ_8;13;30;7;30;45;10;16;11;11;13;14;63;64;9;8;9;8;1;10;8;6;20;4;5;4;4;4;20;14;57;21
KZ_91;13;30;7;30;45;10;14;9;11;13;14;75;64;9;8;9;8;1;5;7;6;20;4;5;4;4;4;20;14;57;21
KZ_94;12;30;7;30;45;10;16;11;8;13;14;69;64;9;8;9;8;1;11;7;6;20;4;5;4;4;4;20;14;57;21
KZ_95;13;30;7;30;45;10;16;11;11;13;13;75;64;9;8;9;8;1;10;7;6;20;4;5;4;4;4;20;14;57;21
Larissa;13;18;7;30;44;9;13;10;9;4;14;74;64;7;13;9;8;1;10;6;6;8;4;5;4;3;4;20;14;37;19
LCS007NS;10;18;6;33;43;12;15;11;11;13;14;69;64;9;8;8;8;2;7;4;6;21;4;5;4;4;4;20;14;46;17
London_499;10;21;7;30;45;10;16;11;11;13;13;49;64;9;8;9;8;1;7;7;6;20;5;5;4;4;4;20;14;57;21
LVS001L;10;18;6;33;43;12;15;11;11;13;15;69;64;9;8;8;8;2;6;4;6;21;4;5;4;4;4;20;14;46;17
LVS005NS;10;18;6;33;43;12;15;11;11;13;14;69;64;9;8;8;8;2;6;4;6;21;4;5;4;4;5;20;14;46;17
LVS006W;10;28;6;33;43;10;15;11;11;13;14;69;64;11;8;8;8;2;10;9;6;21;4;5;3;4;3;20;14;46;17
LVS015VF;16;18;7;33;45;12;15;11;11;13;14;69;64;9;8;9;8;2;6;4;6;21;4;5;4;4;4;20;14;47;17
LVS016;10;18;6;33;43;12;15;11;11;13;14;69;64;9;8;9;8;2;6;4;6;21;4;5;4;4;4;20;14;46;17
LVS018B;10;18;6;33;43;12;15;11;11;13;14;69;64;9;8;8;8;2;6;4;6;21;4;4;4;5;5;20;14;46;17
LVS022B;10;30;7;9;44;12;15;11;11;13;14;69;64;9;8;8;8;2;6;4;6;21;4;5;4;4;4;20;13;46;17
MH_JJ;13;30;7;30;45;10;14;9;11;13;14;78;64;9;8;9;8;2;9;8;6;NA;4;4;4;4;3;20;14;57;6
MH_MFM;12;30;7;73;45;10;16;10;11;13;14;57;57;9;8;9;8;2;9;9;6;20;5;4;4;4;4;20;14;57;17
MH-VW;12;24;7;73;45;10;16;11;11;13;14;57;57;4;8;9;8;2;9;8;6;20;4;4;4;4;5;20;14;57;17
N1;10;18;6;33;43;12;15;11;11;13;14;68;64;9;2;9;8;2;6;6;6;21;4;5;4;4;6;20;14;57;17
N31;10;18;6;33;43;12;15;11;11;13;14;68;64;9;2;9;8;2;6;11;6;21;4;5;4;4;6;20;14;57;17
NC/14;16;30;6;70;43;10;14;12;11;13;14;48;59;9;8;9;8;2;10;9;6;20;4;4;5;4;3;20;14;52;17
NC/29;16;30;6;70;43;12;16;11;11;14;14;52;59;9;8;9;8;2;10;9;6;20;4;4;3;4;3;20;14;52;17
NC14_2;16;30;6;70;43;12;16;11;11;13;14;48;59;9;8;9;8;2;10;9;6;20;2;4;3;4;3;20;14;52;17
NCP/18;16;30;6;73;43;10;15;10;11;13;14;48;65;9;8;9;8;2;10;9;6;20;4;4;5;5;4;20;14;53;21
NCP/19;16;30;6;76;22;10;15;10;11;13;14;48;59;9;8;9;8;2;10;9;6;20;4;4;5;5;4;20;14;53;17
NCP/20;16;30;6;73;25;10;15;10;11;13;14;48;59;9;8;9;8;2;10;9;6;20;4;4;4;5;4;20;14;52;17
NCP/21;16;30;6;70;41;10;15;10;11;13;14;48;59;9;8;9;8;2;10;9;6;20;4;4;4;5;4;20;14;52;17
NCP/22;16;30;6;70;43;10;15;10;11;13;14;48;64;9;8;9;8;2;12;9;6;20;4;4;5;5;4;20;14;52;17
NCP/24;16;30;6;70;41;10;15;10;11;13;14;48;59;9;8;9;8;2;10;12;6;20;4;4;5;4;3;20;14;53;17
NCP/25;16;28;6;70;43;10;16;10;11;13;14;48;64;9;8;9;8;2;10;12;6;21;4;4;5;4;3;20;14;57;17
NCP/26;16;30;6;70;43;12;14;12;11;13;14;48;59;9;8;9;8;2;10;9;6;21;4;4;4;4;5;20;14;53;17
NCP/27;16;30;7;73;41;10;15;10;11;13;14;48;59;9;8;9;8;2;10;9;6;20;4;4;5;4;3;19;14;57;17
NCP/28;16;30;6;70;41;10;14;10;11;13;14;48;59;9;8;9;8;2;10;9;6;20;4;4;4;5;5;20;14;52;21
NCP/29;16;30;6;70;41;10;15;10;11;13;14;48;59;9;8;9;8;2;10;9;6;20;4;4;5;5;4;19;14;52;17
NCP/30;16;30;6;70;43;10;14;12;11;13;14;48;59;9;8;9;8;2;10;9;6;21;4;4;4;4;3;19;14;53;17
NCP/31;16;30;6;28;41;10;15;12;11;13;14;48;59;9;8;9;8;2;10;9;6;20;4;4;5;4;3;20;14;53;17
NCP/32;16;30;6;70;41;10;16;10;11;13;14;48;64;9;8;9;8;2;10;12;6;20;4;4;5;4;3;20;14;52;17
NCP/5;13;30;6;70;43;10;16;11;11;13;14;48;59;9;8;9;8;2;10;NA;6;12;NA;5;5;4;4;20;14;57;17
NCP/7;13;27;6;70;43;10;16;11;11;13;14;48;59;9;8;9;8;2;10;NA;6;12;NA;5;5;4;4;20;14;57;17
NCP1;13;28;6;70;43;10;16;11;11;13;14;48;59;9;8;9;8;2;10;6;6;21;3;5;5;4;4;20;14;57;17
NCP11;13;29;6;70;43;10;16;11;11;13;14;48;59;9;8;9;8;2;10;6;6;21;4;5;5;4;4;20;14;57;17
NCP12;13;29;6;70;42;10;16;11;11;13;14;48;59;9;8;9;8;2;10;6;6;24;4;5;5;4;3;20;14;57;17
NCP13;13;28;6;70;42;10;16;11;11;13;14;48;59;9;8;9;8;2;10;6;6;21;4;5;5;4;3;20;14;57;17
NCP14;13;28;6;70;42;10;16;11;11;13;14;48;59;9;8;9;8;2;10;6;6;21;3;5;5;4;3;20;14;57;17
NCP15;13;29;6;70;42;10;16;11;11;13;14;48;59;9;8;9;8;2;10;6;6;21;3;5;5;4;3;20;14;57;17
NCP17;13;28;6;70;43;10;16;11;11;13;14;48;59;9;8;9;8;2;6;4;5;24;3;5;4;4;3;20;14;57;17
NCP2;13;27;6;70;43;10;16;11;11;13;14;48;59;9;8;9;8;2;10;6;6;21;3;5;5;4;4;20;14;57;17
NCP4;13;28;6;70;43;10;16;11;11;13;14;48;59;9;8;9;8;2;10;6;6;21;4;5;5;4;4;20;14;57;17
NCP6;13;27;6;70;43;10;16;11;11;13;14;48;59;9;8;9;8;2;10;6;6;21;4;5;5;4;4;20;14;57;17
OhioACB;16;27;7;57;45;10;16;9;11;13;14;57;64;9;8;9;8;2;8;9;6;20;3;4;4;4;3;20;13;57;17
OK_05;16;28;6;70;24;10;16;11;11;13;14;52;63;11;8;9;8;2;9;7;6;20;4;4;3;5;4;20;14;53;17
OR1210_26K2;10;18;6;33;43;12;15;11;11;13;14;69;64;9;8;9;8;2;6;4;6;21;4;5;4;4;6;20;14;46;17
OR1210_26K2B;10;18;6;33;43;12;15;11;11;13;14;69;64;9;8;8;8;2;6;4;6;21;4;5;4;4;6;20;14;46;17
OR1210_27H1;10;28;6;33;43;10;16;11;11;13;14;69;64;11;8;9;8;2;10;4;6;21;4;4;3;5;3;20;14;47;17
OR1210_29K;10;18;6;33;43;12;15;11;11;13;14;69;64;11;8;9;8;2;6;4;6;21;4;5;4;4;6;20;14;46;17
OR1210_29KS;10;18;7;33;44;12;15;11;11;13;14;69;64;9;8;9;8;2;6;4;6;21;4;5;4;4;6;20;13;46;17
PAK_1;13;24;7;27;45;10;16;11;7;12;14;66;64;9;8;9;8;2;10;NA;6;NA;NA;5;4;4;4;16;14;49;21
Parent1;16;28;7;76;45;10;16;11;11;13;14;51;65;11;8;9;8;2;NA;NA;6;NA;NA;4;3;5;4;20;14;53;17
Pasteur;13;30;7;17;24;10;16;11;12;13;14;54;35;9;8;7;8;1;NA;7;6;20;4;5;4;4;4;20;14;57;21
PNO2;13;30;6;30;45;10;14;9;10;13;14;75;64;9;8;9;8;1;10;7;6;20;4;5;4;5;4;20;14;57;17
Pollino;16;26;5;50;24;10;16;11;11;13;14;57;64;11;8;9;8;2;7;9;6;20;4;4;4;5;4;20;13;53;17
Pollino3734;13;24;7;30;45;10;16;11;11;13;14;75;40;9;8;9;8;1;7;7;6;20;4;5;4;4;4;20;14;57;21
R_4/1;12;30;7;73;45;12;16;11;11;13;14;57;57;9;8;9;8;2;10;9;6;20;5;4;4;4;4;20;14;57;17
RA3;14;24;6;27;42;10;15;10;11;13;14;17;84;9;8;8;6;2;9;7;5;23;3;5;3;6;3;19;14;53;17
RN12;10;19;6;33;43;12;15;11;11;13;14;69;64;9;8;8;8;2;5;4;6;21;4;5;4;4;4;20;14;46;17
RN22S;10;18;6;33;43;12;16;11;11;13;14;69;64;9;8;8;8;2;6;4;6;21;4;5;4;4;4;20;14;46;17
RN23B;10;18;6;33;43;12;15;11;11;13;14;51;64;9;8;9;8;2;6;4;6;21;4;5;4;4;4;20;14;46;17
RN2B;10;18;6;33;43;12;15;11;11;13;14;69;64;9;8;8;8;2;6;4;6;21;4;5;4;4;4;20;14;46;17
RN2S;10;18;6;33;43;12;15;11;11;13;14;69;64;9;8;8;8;2;6;4;5;21;4;5;4;4;4;20;14;46;17
RN30;10;19;6;33;43;12;15;11;11;13;14;69;64;9;8;8;8;2;6;4;6;21;4;5;4;4;4;20;14;46;17
RN5B;10;18;6;33;43;11;16;11;11;13;14;69;64;9;8;8;8;2;6;4;6;21;4;5;4;4;4;20;14;46;17
RN5S;10;18;6;33;43;10;15;11;11;13;14;69;64;9;8;8;8;2;6;4;6;21;4;5;4;4;4;20;14;46;17
Shikan-NIID;16;26;7;67;24;10;16;11;11;13;14;57;64;11;3;9;8;2;9;7;6;20;4;4;4;5;4;20;14;53;17
SK_102;16;30;6;20;43;10;16;11;11;13;14;71;64;9;8;9;8;2;10;8;6;20;12;5;4;4;4;20;14;48;17
SKZ2012_012A;10;18;7;76;45;12;15;11;11;13;14;69;64;9;8;8;8;2;6;4;6;21;4;5;4;4;4;20;14;46;17
SKZ2012_012AS;16;18;7;9;45;12;15;11;11;13;14;69;64;9;8;8;8;2;6;4;6;21;4;5;4;4;6;20;14;46;21
SKZ2012_012B;10;18;6;33;43;12;15;11;11;13;14;69;64;9;8;8;8;2;6;4;6;21;4;5;4;4;3;20;14;46;17
SKZ2012_012B_B;10;18;5;33;24;12;15;11;11;13;14;69;64;9;8;8;8;2;6;4;6;21;4;5;4;4;6;20;13;46;17
Smith1013;13;18;7;17;24;10;15;11;9;13;14;73;64;9;8;8;8;1;NA;7;6;4;4;5;4;4;4;20;14;57;21
SPV842_15;16;28;7;76;45;10;16;11;11;13;14;51;65;11;8;9;8;2;9;NA;6;NA;NA;4;3;5;4;20;14;53;17
Stamatin_2017Beyer_019;14;27;6;27;42;10;15;10;11;13;14;16;85;13;8;6;6;2;9;7;5;22;3;5;3;5;3;19;14;53;17
Stendal;16;26;5;70;24;10;16;11;11;13;14;57;64;11;8;9;8;2;7;9;6;20;4;4;4;5;4;20;13;53;17
Sterne;13;25;7;35;45;10;15;11;9;13;14;48;65;7;8;9;8;2;NA;NA;6;NA;NA;4;3;5;4;20;14;53;17
Sterne_34F2;16;28;7;76;45;10;16;11;11;13;14;51;65;11;8;9;8;2;9;NA;6;NA;NA;4;3;5;4;20;14;53;17
Sterne_CLR1_2;16;28;7;76;45;10;16;11;11;13;14;51;65;11;8;9;8;2;9;NA;6;NA;NA;4;3;5;4;20;14;53;17
SterneBCU;13;25;7;35;45;10;15;11;9;13;14;48;65;7;8;9;8;2;9;NA;6;NA;NA;4;3;5;4;20;14;53;17
STI_1;13;18;7;76;30;45;10;15;11;9;13;14;64;7;8;9;8;1;9;NA;6;20;4;5;4;4;4;20;14;57;21
SVA11;11;27;4;28;45;10;13;11;11;13;13;6;64;1;8;6;6;2;7;8;5;24;3;5;3;3;3;23;14;53;17
Tangail_1;16;22;5;70;24;10;14;11;11;13;14;57;64;11;8;9;8;2;7;9;6;20;4;4;4;5;4;20;13;53;17
Tangail4/2;7;28;7;54;45;10;16;11;11;13;14;51;50;11;8;9;8;2;9;7;6;3.875;4;4;3;5;4;20;14;53;17
Tsiankovskii_1;13;30;6;99;30;45;10;14;9;10;13;14;64;9;8;9;8;1;10;8;6;20;4;5;4;5;4;20;14;57;17
Turkey32;13;18;7;30;24;10;15;11;11;12;14;57;64;9;8;7;8;2;13;7;6;20;4;5;4;4;4;20;14;57;21
Tyrol3520;14;21;6;8;42;10;15;10;11;13;14;17;84;13;8;6;6;2;9;6;5;23;3;5;3;5;3;19;14;53;17
Tyrol4675;14;28;4;59;18;10;15;10;11;13;14;53;64;9;8;9;6;2;6;6;5;22;3;5;4;5;3;20;14;53;17
UR_1;13;30;7;30;46;9;13;10;9;3;14;74;64;7;8;9;8;2;9;7;7;8;4;5;4;3;4;17;14;56;19
V11;16;30;5;70;45;10;16;11;11;13;14;48;59;9;8;9;8;2;10;12;6;20;3;4;5;4;4;20;14;57;17
V770_NP_1R;12;30;7;73;45;10;16;11;11;13;14;54;57;9;6;9;8;2;9;NA;6;NA;NA;4;4;4;4;20;14;57;17
Vollum_BW;13;30;7;20;44;10;16;11;11;13;14;71;64;9;6;9;8;2;10;8;6;20;12;5;2;4;2;20;13;48;21
Vollum_LA;13;30;7;20;44;10;15;11;11;13;14;68;64;7;6;9;8;2;10;8;6;20;12;5;2;4;2;20;13;48;21
Vollum1B;13;30;7;20;44;10;15;11;11;13;14;71;64;9;6;9;8;2;10;8;6;20;12;5;2;4;2;20;13;48;21
WesternNA_USA6153;13;30;7;30;49;10;16;11;10;13;14;75;64;9;12;9;8;2;8;7;6;NA;4;5;4;4;4;20;14;57;21
Z10;10;18;6;33;43;12;15;11;11;13;14;69;64;9;7;9;8;2;7;6;6;21;4;5;4;4;4;20;14;57;17
Z2;10;18;6;33;43;12;15;11;11;13;14;69;64;9;2;9;8;2;7;6;6;21;4;5;4;4;4;20;14;57;17
Z9;11;27;6;28;45;10;13;11;11;13;13;69;65;9;7;6;6;2;7;6;5;24;3;5;3;3;3;23;15;53;17
Zimbabwe89;11;18;6;28;45;10;13;10;11;13;13;6;64;1;8;6;6;2;8;8;5;24;3;5;3;3;3;23;15;53;17
